iter	Accuracy	MultiClass
213	0.7380073801	0.8695843411
214	0.741697417	0.8685297665
215	0.741697417	0.8667125295
216	0.741697417	0.8654495005
217	0.741697417	0.8652722321
218	0.741697417	0.8643363763
219	0.741697417	0.8629644657
220	0.741697417	0.8613251534
221	0.741697417	0.8597360191
222	0.741697417	0.8587892547
223	0.7453874539	0.8573481331
224	0.7490774908	0.8558509571
225	0.7490774908	0.8548447453
226	0.7490774908	0.8537793197
227	0.7490774908	0.8528416112
228	0.7490774908	0.8515094195
229	0.7490774908	0.8498910648
230	0.7490774908	0.8488051765
231	0.7490774908	0.8478631621
232	0.7490774908	0.8471560755
233	0.7490774908	0.8459555515
234	0.7490774908	0.8444068055
235	0.7527675277	0.8435151514
236	0.7527675277	0.8422263167
237	0.7527675277	0.8407874601
238	0.7527675277	0.83950522
239	0.7527675277	0.8389107676
240	0.7527675277	0.8369945216
241	0.7527675277	0.8362045724
242	0.7527675277	0.8344199397
243	0.7527675277	0.8333646496
244	0.7527675277	0.8322483268
245	0.7527675277	0.831192404
246	0.7527675277	0.8301611231
247	0.7564575646	0.8290674162
248	0.7564575646	0.8281624898
249	0.7564575646	0.8268723871
250	0.7564575646	0.8266427196
251	0.7564575646	0.8255168344
252	0.7564575646	0.8245989241
253	0.7564575646	0.8235685652
254	0.7564575646	0.8221776407
255	0.7564575646	0.821386029
256	0.7564575646	0.8204650814
257	0.7564575646	0.8190304773
258	0.7601476015	0.8181518229
259	0.7601476015	0.817097552
260	0.7601476015	0.8159008861
261	0.7601476015	0.8147718872
262	0.7601476015	0.8136834733
263	0.7601476015	0.8125739899
264	0.7638376384	0.8111774299
265	0.7675276753	0.8097308164
266	0.7675276753	0.8089426232
267	0.7675276753	0.8078097814
268	0.7675276753	0.8066577827
269	0.7675276753	0.8052164611
270	0.7675276753	0.8046923917
271	0.7675276753	0.8035896568
272	0.7712177122	0.8022917201
273	0.7712177122	0.8015184522
274	0.7712177122	0.8006859236
275	0.7712177122	0.799578829
276	0.7712177122	0.7986220088
277	0.7712177122	0.7975849396
278	0.7749077491	0.7967569478
279	0.7749077491	0.7955486943
280	0.7712177122	0.7944165461
281	0.7675276753	0.7936466798
282	0.7675276753	0.792827006
283	0.7675276753	0.7916438438
284	0.7675276753	0.7909266883
285	0.7675276753	0.7897178082
286	0.7712177122	0.7884506556
287	0.7675276753	0.7871076008
288	0.7712177122	0.7858463299
289	0.7749077491	0.7847206603
290	0.7712177122	0.7836698032
291	0.7712177122	0.7830000143
292	0.7712177122	0.7818703217
293	0.7712177122	0.780993496
294	0.7712177122	0.7799122569
295	0.7712177122	0.778754069
296	0.7712177122	0.7784157787
297	0.7712177122	0.7772288475
298	0.7749077491	0.7766179144
299	0.778597786	0.7758402646
300	0.7749077491	0.7748149405
301	0.7749077491	0.7740396137
302	0.7822878229	0.7729481416
303	0.7822878229	0.7728378114
304	0.7822878229	0.7721321793
305	0.7822878229	0.7715577011
306	0.7822878229	0.7707560922
307	0.7859778598	0.7700405047
308	0.7822878229	0.7685775037
309	0.7822878229	0.7680576779
310	0.7822878229	0.767489535
311	0.7822878229	0.7674127039
312	0.7822878229	0.7669034157
313	0.7822878229	0.7663874354
314	0.7822878229	0.7658253638
315	0.778597786	0.7648306315
316	0.778597786	0.7638416358
317	0.7859778598	0.7626994482
318	0.7859778598	0.7619092823
319	0.7859778598	0.761244883
320	0.7896678967	0.7603846808
321	0.7896678967	0.7597012209
322	0.7859778598	0.7593228761
323	0.7822878229	0.7588264145
324	0.7859778598	0.7580429374
325	0.7859778598	0.7575509757
326	0.7859778598	0.7568369081
327	0.7859778598	0.7563032029
328	0.7822878229	0.7555087613
329	0.7822878229	0.7547826131
330	0.7822878229	0.7540652712
331	0.7859778598	0.7532364953
332	0.7859778598	0.7530005225
333	0.7822878229	0.7521554543
334	0.7822878229	0.7514256566
335	0.7822878229	0.7506185502
336	0.7822878229	0.7495620266
337	0.7822878229	0.7486005808
338	0.7859778598	0.7475607118
339	0.7859778598	0.7469521916
340	0.7859778598	0.7459086966
341	0.7859778598	0.7450792044
342	0.7896678967	0.744175078
343	0.7896678967	0.7437556138
344	0.7896678967	0.7430111803
345	0.7896678967	0.7421404462
346	0.7896678967	0.7406534435
347	0.7896678967	0.7401530734
348	0.7896678967	0.7398691948
349	0.7896678967	0.7386768528
350	0.7896678967	0.7374628264
351	0.7896678967	0.7366408015
352	0.7896678967	0.7360231086
353	0.7896678967	0.7351197116
354	0.7933579336	0.7340296379
355	0.7933579336	0.7331460923
356	0.7933579336	0.7325785926
357	0.7933579336	0.7312392451
358	0.7933579336	0.7300517099
359	0.7933579336	0.7299719458
360	0.7933579336	0.7291580718
361	0.7933579336	0.7284639495
362	0.7970479705	0.7278669675
363	0.7970479705	0.7271094841
364	0.7933579336	0.7266575029
365	0.7933579336	0.7259738104
366	0.7933579336	0.7252439325
367	0.7933579336	0.7245061099
368	0.7933579336	0.7237203579
369	0.7933579336	0.7229333742
370	0.7933579336	0.7220705943
371	0.7933579336	0.7211423809
372	0.7933579336	0.7200389512
373	0.7970479705	0.7189740282
374	0.8007380074	0.7180341619
375	0.8007380074	0.717294722
376	0.8007380074	0.7166424247
377	0.8007380074	0.7159738511
378	0.8007380074	0.7151523264
379	0.8007380074	0.7147212652
380	0.8044280443	0.7139315762
381	0.8044280443	0.7129582625
382	0.8044280443	0.7129190583
383	0.8044280443	0.7121405266
384	0.8044280443	0.7112609823
385	0.8044280443	0.7103187024
386	0.8044280443	0.709516056
387	0.8044280443	0.7082955425
388	0.8081180812	0.7073576444
389	0.8081180812	0.7066870759
390	0.8081180812	0.7061162802
391	0.8081180812	0.7054642223
392	0.8081180812	0.7051007626
393	0.8081180812	0.70417604
394	0.8081180812	0.7032821978
395	0.8081180812	0.7024571744
396	0.8081180812	0.7017124205
397	0.8118081181	0.7003776816
398	0.8118081181	0.6995747339
399	0.815498155	0.6989156047
400	0.8081180812	0.6981334748
401	0.8081180812	0.6975037049
402	0.8081180812	0.6968321947
403	0.8081180812	0.6961353512
404	0.8081180812	0.6957659583
405	0.8081180812	0.6952681932
406	0.8081180812	0.694473606
407	0.8118081181	0.6936534702
408	0.8118081181	0.692880352
409	0.8118081181	0.6928700691
410	0.8118081181	0.6923168745
411	0.8118081181	0.6916517341
412	0.8118081181	0.6906345111
413	0.815498155	0.689964601
414	0.815498155	0.6892496238
415	0.815498155	0.6883132667
416	0.815498155	0.6873952716
417	0.815498155	0.6867190378
418	0.8191881919	0.6858816751
419	0.8191881919	0.6852833949
420	0.8191881919	0.6844953308
421	0.8191881919	0.6841934077
422	0.8191881919	0.6831631038
423	0.8191881919	0.6825664994
424	0.8191881919	0.6817186424
425	0.8191881919	0.6810582368
426	0.8191881919	0.6803234506
427	0.8191881919	0.679833415
428	0.8191881919	0.6792783726
429	0.8191881919	0.6785031205
430	0.8191881919	0.6777512756
431	0.8191881919	0.676344811
432	0.8228782288	0.6756890103
433	0.8228782288	0.6747006011
434	0.8228782288	0.6736758074
435	0.8228782288	0.6728288483
436	0.8228782288	0.6723216056
437	0.8228782288	0.671619443
438	0.8228782288	0.6715909208
439	0.8228782288	0.6709453375
440	0.8228782288	0.6698346722
441	0.8191881919	0.669026189
442	0.8228782288	0.668404129
443	0.8228782288	0.66817158
444	0.8228782288	0.6673886044
445	0.8228782288	0.6670651917
446	0.8228782288	0.666498953
447	0.8191881919	0.6652660408
448	0.8191881919	0.6647894468
449	0.8228782288	0.6643029127
450	0.8228782288	0.6637781679
451	0.8265682657	0.6629119335
452	0.8265682657	0.6620192418
453	0.8265682657	0.6616755228
454	0.8265682657	0.6611073643
455	0.8265682657	0.6603621013
456	0.8265682657	0.6593456996
457	0.8265682657	0.6593134389
458	0.8265682657	0.6589907529
459	0.8265682657	0.6583038995
460	0.8302583026	0.6575982473
461	0.8302583026	0.6568284507
462	0.8302583026	0.6561332889
463	0.8302583026	0.6554668073
464	0.8265682657	0.6549948532
465	0.8302583026	0.6544672545
466	0.8302583026	0.6540464905
467	0.8302583026	0.6532683421
468	0.8302583026	0.6526774933
469	0.8302583026	0.6521333009
470	0.8302583026	0.6514201359
471	0.8302583026	0.6507043981
472	0.8302583026	0.6501492753
473	0.8302583026	0.6493762827
474	0.8302583026	0.6486475809
475	0.8302583026	0.647892166
476	0.8339483395	0.6471407454
477	0.8339483395	0.6459163626
478	0.8339483395	0.6449734005
479	0.8339483395	0.6441345357
480	0.8339483395	0.6431485139
481	0.8339483395	0.642604243
482	0.8339483395	0.6417127248
483	0.8302583026	0.6412385945
484	0.8302583026	0.640810023
485	0.8302583026	0.640228405
486	0.8302583026	0.6391158755
487	0.8376383764	0.6383413199
488	0.8376383764	0.6372726968
489	0.8376383764	0.6365160288
490	0.8413284133	0.635967499
491	0.8376383764	0.635310632
492	0.8413284133	0.6344001281
493	0.8376383764	0.6336843214
494	0.8376383764	0.633043345
495	0.8376383764	0.6323857499
496	0.8413284133	0.6318575478
497	0.8450184502	0.6309990685
498	0.8413284133	0.6300424915
499	0.8413284133	0.6294763505
500	0.8450184502	0.6288822098
501	0.8450184502	0.6283886566
502	0.8487084871	0.6278135246
503	0.852398524	0.6272071466
504	0.8487084871	0.6266862122
505	0.8487084871	0.6260142666
506	0.8487084871	0.6253948726
507	0.8450184502	0.6245823342
508	0.8450184502	0.623706594
509	0.8450184502	0.6231130021
510	0.8450184502	0.6226260243
511	0.8450184502	0.6221255975
512	0.8450184502	0.6217462578
513	0.8487084871	0.6211550698
514	0.8487084871	0.6205903846
515	0.8487084871	0.6199915107
516	0.8487084871	0.619368155
